RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC,
64,CUP,SUM,0,0,0,0,0,7,14,7.0404908657,
64,SPOON,SUM,0,0,0,0,0,1,0,10.6422410011,
64,,SUM,0,0,0,0,0,17,64,35.4841029644,
64,,,,,,,,,,,
65,,,,,,,,,,,
65,BOWL,SUM,0,0,0,0,0,7,42,16.8008699417,
65,CUP,SUM,1,0,1,0,0,25,33,0,
65,SPOON,SUM,0,0,0,0,8,14,24,19.4968969822,
65,,SUM,1,0,1,0,8,46,99,36.2977669239,
65,,,,,,,,,,,
66,,,,,,,,,,,
66,BOWL,SUM,1,0,1,0,16,9,44,0,
66,CUP,SUM,0,0,0,0,0,1,13,8.4715030193,
66,SPOON,SUM,1,0,1,0,0,14,44,0,
66,,SUM,2,0,2,0,16,24,101,8.4715030193,
66,,,,,,,,,,,
67,,,,,,,,,,,
67,BOWL,SUM,0,0,0,0,0,10,14,13.3738029003,
67,CUP,SUM,0,0,0,0,16,6,16,17.3433208466,
67,SPOON,SUM,0,0,0,0,0,16,13,14.493491888,
67,,SUM,0,0,0,0,16,32,43,45.2106156349,
67,,,,,,,,,,,
68,,,,,,,,,,,
68,BOWL,SUM,0,0,0,0,0,0,5,8.5538840294,
68,CUP,SUM,0,0,0,0,0,1,5,6.1293330193,
68,SPOON,SUM,1,0,1,0,0,9,44,0,
68,,SUM,1,0,1,0,0,10,54,14.6832170486,
68,,,,,,,,,,,
69,,,,,,,,,,,
69,BOWL,SUM,1,0,0,1,8,5,11,0,
69,CUP,SUM,0,0,0,0,16,14,32,23.3946518898,
69,SPOON,SUM,0,0,0,0,0,7,19,15.6025791168,
69,,SUM,1,0,0,1,24,26,62,38.9972310066,
69,,,,,,,,,,,
70,,,,,,,,,,,
70,BOWL,SUM,0,0,0,0,0,6,17,13.3027000427,
70,CUP,SUM,1,0,1,0,0,19,11,0,
70,SPOON,SUM,0,0,0,0,0,0,1,12.5880019665,
70,,SUM,1,0,1,0,0,25,29,25.8907020092,
70,,,,,,,,,,,
71,,,,,,,,,,,
71,BOWL,SUM,1,0,1,0,0,14,44,0,
71,CUP,SUM,0,0,0,0,32,6,5,26.9268159866,
71,SPOON,SUM,0,0,0,0,0,6,6,13.432063818,
71,,SUM,1,0,1,0,32,26,55,40.3588798046,
71,,,,,,,,,,,
72,,,,,,,,,,,
72,BOWL,SUM,0,0,0,0,0,5,39,15.6998889446,
72,CUP,SUM,0,0,0,0,0,2,3,6.3949699402,
72,SPOON,SUM,1,0,1,0,0,13,44,0,
72,,SUM,1,0,1,0,0,20,86,22.0948588848,
72,,,,,,,,,,,
73,,,,,,,,,,,
73,BOWL,SUM,1,1,0,0,24,41,0,0,
73,CUP,SUM,1,0,1,0,0,15,77,0,
73,SPOON,SUM,0,0,0,0,0,9,41,19.7721829414,
73,,SUM,2,1,1,0,24,65,118,19.7721829414,
73,,,,,,,,,,,
74,,,,,,,,,,,
74,BOWL,SUM,1,0,1,0,8,20,44,0,
74,CUP,SUM,0,0,0,0,0,6,7,8.0530469418,
74,SPOON,SUM,0,0,0,0,0,6,24,17.7175290585,
74,,SUM,1,0,1,0,8,32,75,25.7705760002,
74,,,,,,,,,,,
75,,,,,,,,,,,
75,BOWL,SUM,1,0,1,0,0,12,44,0,
75,CUP,SUM,0,0,0,0,0,1,8,8.8516659737,
75,SPOON,SUM,0,0,0,0,0,2,2,13.4156200886,
75,,SUM,1,0,1,0,0,15,54,22.2672860622,
75,,,,,,,,,,,
76,,,,,,,,,,,
76,BOWL,SUM,1,0,0,1,8,1,11,0,
76,CUP,SUM,0,0,0,0,0,9,8,6.3222360611,
76,SPOON,SUM,1,0,1,0,0,9,44,0,
76,,SUM,2,0,1,1,8,19,63,6.3222360611,
76,,,,,,,,,,,
77,,,,,,,,,,,
77,BOWL,SUM,1,0,1,0,0,19,44,0,
77,CUP,SUM,0,0,0,0,0,6,5,7.5636029243,
77,SPOON,SUM,0,0,0,0,0,0,2,12.3398170471,
77,,SUM,1,0,1,0,0,25,51,19.9034199715,
77,,,,,,,,,,,
78,,,,,,,,,,,
78,BOWL,SUM,1,0,0,1,0,16,19,0,
78,CUP,SUM,0,0,0,0,0,4,11,6.5302820206,
78,SPOON,SUM,0,0,0,0,0,4,20,15.7602770329,
